precio,tasacion_AU,km,matric,cv,acabado,motor,valoracion_AU,dias,portal,id,version,url
7950,1750,148000,Mar 2014,280,OPC,2.0L Gasolina,Buen precio,17,Autoscout24,224050606,Astra J OPC 280PS,https://www.autouncle.de/es/d/224050606
7699,9800,105588,Abr 2014,200,S,1.6L Gasolina,Precio justo,21,mobile.de,223731475,1.6 ECOTEC DI Turbo ecoFLEX,https://www.autouncle.de/es/d/223731475
7499,,140000,Abr 2014,170,,1.6L Gasolina,Precio justo,4,Autoscout24,224769990,Astra J,https://www.autouncle.de/es/d/224769990
7500,8500,111050,Mar 2015,170,,1.6L Gasolina,Precio justo,47,Kleinanzeigen,221938724,1.6 ECOTEC DI Turbo,https://www.autouncle.de/es/d/221938724
7000,8500,138000,Feb 2017,120,,1.4L Gasolina,Precio justo,27,Autoscout24,223257559,1.4 Turbo,https://www.autouncle.de/es/d/223257559
9200,,72000,Oct 2015,200,S,1.6L Gasolina,Un poco caro,2,Kleinanzeigen,224889371,1.6 DI Turbo ecoFLEX,https://www.autouncle.de/es/d/224889371
10950,12999,129000,May 2014,280,OPC,2.0L Gasolina,Un poco caro,113,Kleinanzeigen,217529060,Astra J OPC,https://www.autouncle.de/es/d/217529060
7990,8490,139600,Ene 2015,170,Basis,1.6L Gasolina,Un poco caro,122,Autoscout24,216876587,Basis 20ZOLL,https://www.autouncle.de/es/d/216876587
8500,13500,119000,Sep 2014,200,,1.6L Gasolina,Un poco caro,594,Kleinanzeigen,183718183,1.6 ECOTEC LEDER NAVI,https://www.autouncle.de/es/d/183718183
7200,,135392,2014,120,,1.4L Gasolina,Caro,1,Kleinanzeigen,224962041,Astra J,https://www.autouncle.de/es/d/224962041
8130,8360,103945,2015,140,Basis,1.4L Gasolina,Caro,23,Kleinanzeigen,223528631,1.4 Turbo Basis PDC SHZ,https://www.autouncle.de/es/d/223528631
11780,13780,83740,Jul 2018,200,Excite,1.6L Gasolina,Caro,470,Autoscout24,191136864,Excite NAVI PDC,https://www.autouncle.de/es/d/191136864
8900,,105319,Mar 2015,170,Basis,1.6L Gasolina,Caro,94,Autoscout24,218819095,Basis infinity OPC-Line,https://www.autouncle.de/es/d/218819095
13000,,99303,Nov 2015,280,OPC,2.0L Gasolina,Caro,15,Kleinanzeigen,224165559,2.0 Turbo OPC,https://www.autouncle.de/es/d/224165559
13900,16750,101500,Jul 2014,280,OPC,2.0L Gasolina,Caro,272,Kleinanzeigen,207099615,2.0 Turbo OPC Performance,https://www.autouncle.de/es/d/207099615
7867,7900,99900,Mar 2014,140,Innovation,1.4L Gasolina,Caro,78,mobile.de,219887296,1.4 Automatik Innovation,https://www.autouncle.de/es/d/219887296
10500,,83300,Jun 2015,200,OPC,1.6L Gasolina,Caro,45,,222057589,OPC Line TUV+Insp nuevos,https://www.autouncle.de/es/d/222057589
9900,,102000,Nov 2014,170,Active,1.6L Gasolina,Caro,72,Autoscout24,220140520,Active 18ZOLL Bi-XENON,https://www.autouncle.de/es/d/220140520
10900,,81000,2014,200,,1.6L Gasolina,Caro,147,Autoscout24,215241616,OPC Line,https://www.autouncle.de/es/d/215241616
8130,9450,103945,2015,140,Basis,1.4L Gasolina,,87,,209493403,1.4 Turbo Basis,https://www.autouncle.de/es/d/209493403
