precio,km,matriculacion,portal,dias_publicado,version,url
10950,129000,May 2014,Kleinanzeigen,113,Astra J OPC,https://www.autouncle.de/es/d/217529060
13000,99303,Nov 2015,Kleinanzeigen,15,2.0 Turbo OPC,https://www.autouncle.de/es/d/224165559
13500,102000,Jul 2014,Autoscout24,9,OPC 3p Olfen NRW,https://www.autouncle.de/es/d/224516733
13900,101500,Jul 2014,Kleinanzeigen,272,OPC Performance,https://www.autouncle.de/es/d/207099615
15555,53000,2016,Kleinanzeigen,23,OPC Navi Schalensitze Xenon,https://www.autouncle.de/es/d/223578565
16250,92485,2014,Kleinanzeigen,22,OPC 2.0 Turbo,https://www.autouncle.de/es/d/223601043
16500,48541,Mar 2014,mobile.de,12,OPC Klappenauspuff,https://www.autouncle.de/es/d/224296901
17100,115000,2017,Kleinanzeigen,50,OPC,https://www.autouncle.de/es/d/221685033
17390,83020,Sep 2017,concesionario,44,OPC Nappa Bose Xenon,https://www.autouncle.de/es/d/222150737
17900,40000,May 2016,concesionario,41,OPC 280PS SHZ,https://www.autouncle.de/es/d/222316168
18000,46251,Dic 2015,concesionario,73,Astra J OPC,https://www.autouncle.de/es/d/220108300
19450,51220,Dic 2017,concesionario,32,2.0 Turbo OPC,https://www.autouncle.de/es/d/222828450
19890,78000,May 2018,mobile.de,15,Astra J OPC,https://www.autouncle.de/es/d/224188744
