titulo,precio,tasacion_AU,valoracion,matric,km,cv,combustible,cambio,acabado,dias,ubicacion,url
Usado (2014) Opel Astra GTC OPC 280 CV | Buen precio,7950,1750,Buen precio,Mar 2014,148.000 km,280 CV (205 kW),2.0L Gasolina,Manual,Acabado:  OPC,,72793 Baden-Württemberg - Pfullingen,https://www.autouncle.es/es/d/224050606-usado-2014-opel-astra-gtc-opc-280-cv
Usado (2014) Opel Astra GTC S 200 CV | Precio justo,7699,9800,Precio justo,Abr 2014,105.588 km,200 CV (147 kW),1.6L Gasolina,Manual,Acabado:  S,,13597 Compartir Ver el coche,https://www.autouncle.es/es/d/223731475-usado-2014-opel-astra-gtc-s-200-cv
Usado (2014) Opel Astra GTC 170 CV | Precio justo,7499,,Precio justo,Abr 2014,140.000 km,170 CV (125 kW),1.6L Gasolina,Manual,,,68647 Biblis,https://www.autouncle.es/es/d/224769990-usado-2014-opel-astra-gtc-170-cv
Usado (2015) Opel Astra GTC 170 CV | Precio justo,7500,8500,Precio justo,Mar 2015,111.050 km,170 CV (125 kW),1.6L Gasolina,Manual,,,63571 Gelnhausen,https://www.autouncle.es/es/d/221938724-usado-2015-opel-astra-gtc-170-cv
Usado (2017) Opel Astra GTC 120 CV | Precio justo,7000,8500,Precio justo,Feb 2017,138.000 km,120 CV (88 kW),1.4L Gasolina,Manual,,,63654 Büdingen,https://www.autouncle.es/es/d/223257559-usado-2017-opel-astra-gtc-120-cv
Usado (2015) Opel Astra GTC S 200 CV | Un poco caro,9200,,Un poco caro,Oct 2015,72.000 km,200 CV (147 kW),1.6L Gasolina,Manual,Acabado:  S,,,https://www.autouncle.es/es/d/224889371-usado-2015-opel-astra-gtc-s-200-cv
Usado (2014) Opel Astra GTC OPC 280 CV | Un poco caro,10950,12999,Un poco caro,May 2014,129.000 km,280 CV (205 kW),2.0L Gasolina,Manual,Acabado:  OPC,,59067 Hamm,https://www.autouncle.es/es/d/217529060-usado-2014-opel-astra-gtc-opc-280-cv
Usado (2015) Opel Astra GTC Basis 170 CV | Un poco caro,7990,8490,Un poco caro,Ene 2015,139.600 km,170 CV (125 kW),1.6L Gasolina,Manual,Acabado:  Basis,,72131 Ofterdingen,https://www.autouncle.es/es/d/216876587-usado-2015-opel-astra-gtc-basis-170-cv
Usado (2014) Opel Astra GTC 200 CV | Un poco caro,8500,13500,Un poco caro,Sep 2014,119.000 km,200 CV (147 kW),1.6L Gasolina,Manual,,,91358 Kunreuth,https://www.autouncle.es/es/d/183718183-usado-2014-opel-astra-gtc-200-cv
Usado (2014) Opel Astra GTC 120 CV | Caro,7200,28750,Caro,2014,135.392 km,120 CV (88 kW),1.4L Gasolina,Manual,,,83395 Freilassing,https://www.autouncle.es/es/d/224962041-usado-2014-opel-astra-gtc-120-cv
Usado (2015) Opel Astra GTC Basis 140 CV | Caro,8130,8360,Caro,2015,103.945 km,140 CV (102 kW),1.4L Gasolina,Manual,Acabado:  Basis,,70825 Korntal-Münchingen,https://www.autouncle.es/es/d/223528631-usado-2015-opel-astra-gtc-basis-140-cv
Usado (2018) Opel Astra GTC Excite 200 CV | Caro,11780,13780,Caro,Jul 2018,83.740 km,200 CV (147 kW),1.6L Gasolina,Manual,Acabado:  Excite,,74889 Sinsheim,https://www.autouncle.es/es/d/191136864-usado-2018-opel-astra-gtc-excite-200-cv
Usado (2015) Opel Astra GTC Basis 170 CV | Caro,8900,,Caro,Mar 2015,105.319 km,170 CV (125 kW),1.6L Gasolina,Manual,Acabado:  Basis,,88045 Friedrichshafen,https://www.autouncle.es/es/d/218819095-usado-2015-opel-astra-gtc-basis-170-cv
Usado (2015) Opel Astra GTC OPC 280 CV | Caro,13000,,Caro,Nov 2015,99.303 km,280 CV (205 kW),2.0L Gasolina,Manual,Acabado:  OPC,,26409 Friedeburg,https://www.autouncle.es/es/d/224165559-usado-2015-opel-astra-gtc-opc-280-cv
Usado (2014) Opel Astra GTC OPC 280 CV | Caro,13900,16750,Caro,Jul 2014,101.500 km,280 CV (205 kW),2.0L Gasolina,Manual,Acabado:  OPC,,,https://www.autouncle.es/es/d/207099615-usado-2014-opel-astra-gtc-opc-280-cv
Usado (2014) Opel Astra GTC Innovation 140 CV | Caro,7867,7900,Caro,Mar 2014,99.900 km,140 CV (102 kW),1.4L Gasolina,Manual,Acabado:  Innovation,,58638 Iserlohn,https://www.autouncle.es/es/d/219887296-usado-2014-opel-astra-gtc-innovation-140-cv
